t_s,Px_mm,Py_mm,Pz_mm,b1_mm,b2_mm,b3_mm,b1_mm_s,b2_mm_s,b3_mm_s,b1_mm_s2,b2_mm_s2,b3_mm_s2,thetaC1_deg,thetaD1_deg,thetaC2_deg,thetaD2_deg,thetaC3_deg,thetaD3_deg
1.12,0.0,-27.455999999999996,0.0,100.0,72.54400000000001,100.0,0.0,22.400000000000002,0.0,0.0,20.0,0.0,63.71733091324846,-63.71733091324846,59.99999999999999,-59.99999999999999,53.2577395409561,-66.31027020893981
1.1300000000000001,0.0,-27.230999999999995,0.0,100.0,72.769,100.0,0.0,22.6,0.0,0.0,20.0,0.0,63.687373011828676,-63.687373011828676,59.99999999999999,-59.99999999999999,53.3142842022771,-66.26076189364798
1.1400000000000001,0.0,-27.003999999999998,0.0,100.0,72.99600000000001,100.0,0.0,22.800000000000004,0.0,0.0,20.0,0.0,63.65714096641191,-63.65714096641191,59.99999999999999,-59.99999999999999,53.37131367872625,-66.21077312546588
1.1500000000000001,0.0,-26.775,0.0,100.0,73.225,100.0,0.0,23.000000000000004,0.0,0.0,20.0,0.0,63.626634553756574,-63.626634553756574,59.99999999999999,-59.99999999999999,53.42882740053173,-66.16030291719903
1.16,0.0,-26.544,0.0,100.0,73.456,100.0,0.0,23.2,0.0,0.0,20.0,0.0,63.59585354797338,-63.59585354797338,59.99999999999999,-59.99999999999999,53.486824788551324,-66.1093502768615
1.17,0.0,-26.311,0.0,100.0,73.689,100.0,0.0,23.4,0.0,0.0,20.0,0.0,63.56479772050548,-63.56479772050548,59.99999999999999,-59.99999999999999,53.54530525415466,-66.0579142077883
1.18,0.0,-26.076,0.0,100.0,73.924,100.0,0.0,23.599999999999998,0.0,0.0,20.0,0.0,63.53346684010844,-63.53346684010844,59.99999999999999,-59.99999999999999,53.604268199104105,-66.00599370874919
1.19,0.0,-25.839,0.0,100.0,74.161,100.0,0.0,23.799999999999997,0.0,0.0,20.0,0.0,63.50186067282988,-63.50186067282988,59.99999999999999,-59.99999999999999,53.66371301543468,-65.95358777406366
1.2,0.0,-25.6,0.0,100.0,74.4,100.0,0.0,24.0,0.0,0.0,20.0,0.0,63.469978981988916,-63.469978981988916,59.99999999999999,-59.99999999999999,53.72363908533291,-65.90069539371746
1.21,0.0,-25.359,0.0,100.0,74.64099999999999,100.0,0.0,24.2,0.0,0.0,20.0,0.0,63.43782152815523,-63.43782152815523,59.99999999999999,-59.99999999999999,53.78404578101455,-65.84731555348033
1.22,0.0,-25.116,0.0,100.0,74.884,100.0,0.0,24.4,0.0,0.0,20.0,0.0,63.40538806912799,-63.40538806912799,59.99999999999999,-59.99999999999999,53.84493246460122,-65.79344723502511
1.23,0.0,-24.871000000000002,0.0,100.0,75.12899999999999,100.0,0.0,24.6,0.0,0.0,20.0,0.0,63.37267835991436,-63.37267835991436,59.99999999999999,-59.99999999999999,53.906298487996025,-65.73908941604829
